dataDir	1280000
dataLogDir	57500
clientPort	152000
localSessionsEnabled	370
localSessionsUpgradingEnabled	128
clientPortAddress	4070
secureClientPort	5920
secureClientPortAddress	442
tickTime	433000
maxClientCnxns	41100
minSessionTimeout	11900
maxSessionTimeout	17800
initLimit	31100
syncLimit	80700
electionAlg	4240
quorumListenOnAllIPs	1710
peerType	70900
syncEnabled	35800
autopurge.snapRetainCount	14700
autopurge.purgeInterval	12500
standaloneEnabled	2620
reconfigEnabled	1630
sslQuorum	602
portUnification	3410
sslQuorumReloadCertFiles	156
quorum.auth.enableSasl	1330
quorum.auth.serverRequireSasl	395
quorum.auth.learnerRequireSasl	590
quorum.auth.learner.saslLoginContext	89
quorum.auth.server.saslLoginContext	104
quorum.auth.kerberos.servicePrincipal	258
quorum.cnxn.threads.size	1020
